AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO;EnteredBy
24117;Highland Terrier;;M;13-334844DI;2013-04-25;20040;Colby;200;2013-04-25;White;;20 lbs.;;HOLDING STRAY;Redeemed;26;Samantha  Law
24119;Shih Tzu mix;;M;;2013-04-25;4000;Little Boss;4000;2013-04-25;White and Brown;;15;;HOLDING STRAY;Ride Home Free;3;Bob Cristofoli
24120;Lab;;F;13-335002DIAK;2013-04-25;20044;Dojah;200;2013-04-28;Brown;;50;;HOLDING STRAY;Redeemed;21;Guy Palanuik
24124;Terrier;2013-04-19;M/N;13-358817DA;2013-04-25;2000;Honey Badger;200;2013-06-10;Brown;;4;;TRANSFERRED;Sold;;Katie Ernst
24129;Poodle X;;M/N;13-335289DI-TB;2013-04-27;20088;Toto;200;2013-04-28;White;;10 lbs;;HOLDING STRAY;Redeemed;15;Ching Koo
24130;Toy Poodle;;M;13-337178;2013-04-27;0;Belvedere;200;2013-04-29;Apricot;;2lb;;POLICE-NIGHT;Redeemed;MA11;Mariana Ardeleanu
24133;Siberian;;F/S;13-335290 DIAK;2013-04-28;20083;Sierra;200;2013-04-28;Red/White;;;;BROUGHT-IN;Redeemed;;Tamera Blanchard
25694;Chihuahua;;M;14-291863DI;2014-09-20;;Tequila;200;2014-09-21;Tan;;;Senior;HOLDING STRAY;Redeemed;Jill 28;Jill  Mallon
25714;Toy Poodle;;F;DI 14-237850 AK;2014-09-28;;Bobo;200;2014-09-29;White;;;Adult;HOLDING STRAY;Redeemed;11;Mariana Ardeleanu
25717;Shiba Inu;;M/N;;2014-09-26;;Ichiro;400;2014-09-29;Red;;;Adult;HOLDING STRAY;Ride Home Free;Duty Driver;Toni Peterson
25722;Collie;;M/N;;2014-10-01;;Rocky;100;2015-06-28;Brown;;;Young Adult;COMPLAINT;Behavior;3 & 23;Bob Cristofoli
25737;Labradoodle;;F;;2014-10-04;;Ava;;2014-10-04;Black;;;Adult;HOLDING STRAY;Ride Home Free;JT;Joy Tullos
25742;Labradoodle;;F/S;di 14-300940 ak;2014-10-06;;Piper;200;2014-10-06;Cream;;;Adult;HOLDING STRAY;Redeemed;27;Carol Nguyen
25743;Poodle X;2014-10-17;M/N;DA 14-307609 AK;2014-10-07;;Chester (new name Motley);200;2014-10-27;Grey;Yellow;;Young Adult;HOLDING STRAY;Sold;JT;Joy Tullos
25744;Labradoodle;;F/S;14-301611DI;2014-10-07;;Bella;200;2014-10-07;White;;;Adult;HOLDING STRAY;Redeemed;JT;Joy Tullos
25750;Collie;;F/S;14-302549DI;2014-10-09;;Millie;200;2014-10-09;Black;;;Adult;HOLDING STRAY;Redeemed;JT;Joy Tullos
25772;Standard Poodle;;F;14-304958DI;2014-10-16;;Bella;200;2014-10-16;White;;;Adult;HOLDING STRAY;Redeemed;JT;Joy Tullos
25775;Mastiff;;M;14-307030DI;2014-10-17;;Prince;200;2014-10-22;Tan;;;Adult;POLICE-DAY;Redeemed;Jill 28;Jill  Mallon
25781;Border Collie;;M;DI 14-306237 AK;2014-10-19;;Guchio;200;2014-10-20;Black;;;Adult;HOLDING STRAY;Redeemed;11;Mariana Ardeleanu
25784;Labrador;;F;DI 14-306362;2014-10-20;;Kona;200;2014-10-20;Black;;;Adult;HOLDING STRAY;Redeemed;12;Jeanette Nelson
24686;Shih Tzu;;M;TU;2013-10-07;;Loki;400;2013-10-19;Grey;;;Adult;HOLDING STRAY;Ride Home Free;12;Jeanette Nelson
24693;Germ. Shepherd;;F/S;13-429886 DI;2013-10-08;;Keera;200;2013-10-08;Black;;;Adult;HOLDING STRAY;Redeemed;22;Lori Fitzgerald
24697;Terrier X;2013-10-25;M/N;DA 13-435538;2013-10-09;;Kit Kat;200;2013-10-27;Brown;Yellow;;Adult;HOLDING STRAY;Sold;ks19;Karen Sinclair
24701;Golden Retriever;;M;;2013-10-10;;Macarthur;200;2013-10-10;Apricot;;;Adult;HOLDING STRAY;Redeemed;15;Ching Koo
24705;Pomeranian;;M/N;;2013-10-10;;Tiger;400;2013-10-11;Tan;;;Senior;HOLDING STRAY;Ride Home Free;15;Ching Koo
24712;Shih Tzu;;F;13-431316DI;2013-10-11;;Lucy (?);200;2013-10-12;Cream;;;Young Adult;HOLDING STRAY;Redeemed;23;Bob Cristofoli
24713;Border Collie;;M;13-431313DI;2013-10-12;;Tito;200;2013-10-15;Black;;;Senior;HOLDING STRAY;Redeemed;12;Jeanette Nelson
24715;Shar-Pei;;F;;2013-10-12;;Panda;100;2013-10-18;White;;;;HOLDING STRAY;Transferred;23;Brad Martin
24719;Rabbit - lopped;;F;;2013-10-13;;Cinnamon;100;2013-10-21;Tan;;;Adult;BROUGHT-IN;Passed Away;;Arlene Kumar
24725;Husky;;M;13-433694DI;2013-10-15;;Foxtrot;200;2013-10-19;Red;;;Senior;HOLDING STRAY;Redeemed;3;Guy Palanuik
24728;Terrier X;2013-11-01;M/N;DA 13-441263;2013-10-16;;Moe;200;2013-11-04;Black;;;Puppy;TRANSFERRED;Sold;rb;Rachel Blyth
24732;Pomeranian;;F;13-433002DI;2013-10-16;;Ella;200;2013-10-17;Red;;5;Adult;HOLDING STRAY;Redeemed;3;Bob Cristofoli
24734;Jack Russell Terrier;;M/N;;2013-10-17;;Joe;100;2013-10-23;White;;;Senior;BROUGHT-IN;Health;;Toni Peterson
24736;Labrador;;F/S;13-433222DI;2013-10-17;;Lou Lou (?);200;2013-10-18;Yellow;;;Adult;HOLDING STRAY;Redeemed;22;Lori Fitzgerald
24737;Corgi;;M/N;13-433709DI;2013-10-18;;Ceetouie;200;2013-10-19;Black;;;Adult;HOLDING STRAY;Redeemed;21;Guy Palanuik
24738;Husky X;2013-11-01;M;DA 13-441884;2013-10-18;;Stanley (aka Drogo);200;2013-11-06;Brown;;;Puppy;TRANSFERRED;Sold;rb;Rachel Blyth
24740;Lab X;;M;13-434939 DI;2013-10-18;;Charlie;200;2013-10-23;Yellow;;;Adult;HOLDING STRAY;Redeemed;23;Brad Martin
24747;Bouvier;;F/S;13-434599DI;2013-10-21;;Mica;200;2013-10-22;Tan;;;Adult;PATROL;Redeemed;MA11;Mariana Ardeleanu
24748;Bichon Frise;;M/N;13-434632DI;2013-10-22;;Toto;200;2013-10-22;White;;;Senior;BROUGHT-IN;Redeemed;;Toni Peterson
24751;Bearded Dragon;;F;;2013-10-23;;Shiniqua(new name);100;2013-12-16;Brown;;;Adult;HOLDING STRAY;Transferred;3;Bob Cristofoli
24753;Pit Bull;;F/S;;2013-10-24;;Lexy;400;2013-10-25;Black;;;Adult;HOLDING STRAY;Ride Home Free;22;Lori Fitzgerald
24754;Pit Bull;;F;TU;2013-10-25;;Cali;400;2013-10-25;Blue;;;Adult;POLICE-EMERGENCY;Ride Home Free;21;Guy Palanuik
24755;Shetland Sheepdog;;F/S;13-435504DI;2013-10-25;;Choco;200;2013-10-25;Tan;;;Adult;HOLDING STRAY;Redeemed;Guy 21;Tammy Unrau
24757;Aust. Cattle Dog;;M/N;13-435729DI;2013-10-25;;Joey;200;2013-10-27;Red;;;Adult;HOLDING STRAY;Redeemed;27;Carol Nguyen
24759;Labrador;;M/N;;2013-10-26;;Murdo Mcleod;400;2013-10-26;Golden;;;Adult;BROUGHT-IN;Ride Home Free;;Elaine Lee
24763;Yorkshire Terrier;;F/S;13-435722DI;2013-10-27;;China;200;2013-10-27;Golden;;;Senior;HOLDING STRAY;Redeemed;12;Jeanette Nelson
24773;Shih Tzu;;F;;2013-10-30;;Tiara;400;2013-11-02;White;;;Adult;HOLDING STRAY;Ride Home Free;21;Guy Palanuik
24774;Doberman Pinscher;;F/S;13-440842DI;2013-10-30;;Keera;200;2013-10-31;Black;;;Adult;HOLDING STRAY;Redeemed;ks19;Karen Sinclair
24778;Pit Bull;;M/N;13-441261DI;2013-11-01;;Bosco;200;2013-11-02;Brown;;;Adult;POLICE-DAY;Redeemed;21;Guy Palanuik
24786;Husky;;F/S;13-441364DI;2013-11-02;0;Sierra;200;2013-11-03;Red;;;Adult;COMPLAINT;Redeemed;27;Carol Nguyen
24788;Husky;2013-11-09;F;DI 13-442664;2013-11-03;;Zhara;200;2013-11-12;White;Yellow;;Senior;HOLDING STRAY;Redeemed;;Lorne Elgar
24789;Aust. Shepherd;;M/N;13-441540DI;2013-11-03;;Shadow;200;2013-11-04;White;;;Senior;HOLDING STRAY;Redeemed;15;Lorne Elgar
24795;Labrador;;M/N;;2013-11-06;;Riley;400;2013-11-07;Black;;;Adult;HOLDING STRAY;Ride Home Free;;Guy Palanuik
24797;Labrador;;M/N;13-442662 DIAK;2013-11-09;;Porter;200;2013-11-10;Black;;;Adult;HOLDING STRAY;Redeemed;27;Carol Nguyen
24802;Dwarf;;M;DA 13-454145 DAAK;2013-11-13;;Caballo;200;2013-12-31;Brown;;;;OTHER;Sold;22;Lori Fitzgerald
24806;Dachshund;;F;13-443703DI;2013-11-13;;Cookie;200;2013-11-14;Black;;;Adult;HOLDING STRAY;Redeemed;21;Guy Palanuik
24808;Siberian Husky;;M/N;;2013-11-16;;Duna;400;2013-11-16;Tan;;;Adult;BROUGHT-IN;Ride Home Free;;Elaine Lee
24809;Cocker Spaniel;;F;;2013-11-17;;Coco;400;2013-11-17;Brown;;;Senior;HOLDING STRAY;Ride Home Free;12;Jeanette Nelson
24810;Yorkie X;;F;13-444802 DI;2013-11-17;;Lucy;200;2013-11-19;Black;;;Adult;HOLDING STRAY;Redeemed;12;Jeanette Nelson
24815;Germ. Shepherd;2013-12-21;F/S;DA 13-453310;2013-11-19;;Mui Mui (mooee mooee);200;2013-12-27;Tan;Blue;;Senior;HOLDING STRAY;Sold;22;Lori Fitzgerald
24816;Malamute;;F;13-445084DI;2013-11-19;;Aziza;200;2013-11-20;Black;;;Adult;HOLDING STRAY;Redeemed;22;Lori Fitzgerald
24817;Bouvier;;M/N;13-445517DI;2013-11-20;;Arnie;200;2013-11-22;Grey;;;Young Adult;HOLDING STRAY;Redeemed;3;Bob Cristofoli
24820;Aust. Shepherd;;M/N;;2013-11-21;;Dish;400;2013-11-21;Black;;;Young Adult;HOLDING STRAY;Ride Home Free;ACO29;Lorne Elgar
24822;Lab X;;M;13-445676DI;2013-11-21;;Lucky;200;2013-11-22;Tan;;;Adult;HOLDING STRAY;Redeemed;21;Guy Palanuik
24830;Amer. Eskimo Dog;2013-12-06;F/S;DA 13-449754;2013-11-25;;Izzy - new name;200;2013-12-06;White;green;;Young Adult;HOLDING STRAY;Sold;22;Lori Fitzgerald
24836;Husky X;2013-12-06;F/S;DA 13-450588;2013-11-26;;Bindi (now Indy);200;2013-12-10;Red;;;Puppy;TRANSFERRED;Sold;rb;Rachel Blyth
24839;Husky X;2013-12-10;F/S;13-453915DA;2013-11-26;;Bryn;200;2013-12-28;Brown;;;Puppy;TRANSFERRED;Sold;rb;Rachel Blyth
24846;Lab X;2013-12-10;F/S;13-450299DA;2013-11-29;;Peggi;200;2013-12-17;Brown;;;Puppy;TRANSFERRED;Sold;rb;Rachel Blyth
24848;Beagle;;M/N;13-448598 DIAK;2013-12-01;;Maxie;200;2013-12-01;White;;;Adult;HOLDING STRAY;Redeemed;29;Lorne Elgar
24849;Husky X;2013-12-21;F/S;DA 13-454158AK;2013-12-02;;Eva;200;2014-01-04;Black;Yellow;;Adult;HOLDING STRAY;Sold;12;Jeanette Nelson
24857;Beagle;;M/N;13-449527 DI;2013-12-04;;Dooley;200;2013-12-05;Brown;;;Senior;HOLDING STRAY;Redeemed;21;Guy Palanuik
24858;Pit Bull;2013-12-10;F/S;DA 13-454163 AK;2013-12-04;;Nova (New Name Ebi);200;2014-01-02;Black;Blue;;Young Adult;BROUGHT-IN;Sold;ACO 22;Toni Peterson
24860;Shepherd X;;F;;2013-12-05;;Tika;400;2013-12-05;Golden;;;Senior;HOLDING STRAY;Ride Home Free;21;Guy Palanuik
24861;Golden Retriever;;F/S;;2013-12-06;;Kayla;400;2013-12-06;Yellow;;;Senior;HOLDING STRAY;Ride Home Free;15;Ching Koo
24864;Malinois;;M;;2013-12-07;;Thunder;400;2013-12-07;Tan;;;Adult;HOLDING STRAY;Ride Home Free;27;Carol Nguyen
24865;Chihuahua;2013-12-14;M/N;DA 13-453307DAAK;2013-12-08;;Thor;200;2013-12-22;Tan;Green;;Adult;HOLDING STRAY;Sold;27;Carol Nguyen
24866;Germ. Shepherd;;M/N;;2013-12-09;;Ralphie;400;2013-12-13;Black;;;Adult;HOLDING STRAY;Ride Home Free;12;Jeanette Nelson
24872;Amer. Eskimo Dog;;F;13-451343 DI;2013-12-12;;Lu Lu;200;2013-12-12;White;;20;Young Adult;HOLDING STRAY;Redeemed;3;Bob Cristofoli
24873;Chihuahua;2013-12-21;M/N;DA 14-170626;2013-12-12;;Winston;200;2014-01-03;Tan;Green;;Adult;HOLDING STRAY;Sold;22;Lori Fitzgerald
24874;Chihuahua;;F/S;;2013-12-12;;Jackie;400;2013-12-12;Black;;;Adult;HOLDING STRAY;Ride Home Free;15;Ching Koo
24878;Husky;;F;13-451715DI;2013-12-16;;Garbo;200;2013-12-16;White;;;Young Adult;HOLDING STRAY;Redeemed;12;Jeanette Nelson
24881;Husky X;;F/S;;2013-12-17;;Coco;400;2013-12-17;Tan;;;Adult;HOLDING STRAY;Ride Home Free;22;Lori Fitzgerald
24888;Labrador;;M;TU;2013-12-18;;Sam;400;2013-12-18;Yellow;;;Senior;HOLDING STRAY;Ride Home Free;15;Ching Koo
24889;Golden Retriever;;M/N;13-452640 DI;2013-12-18;;Jackson;200;2013-12-19;Golden;;;Adult;BROUGHT-IN;Redeemed;rb;Rachel Blyth
24892;Shih Tzu;;M/N;13-453020 DI;2013-12-19;;Buddy;200;2013-12-20;Cream;;;Senior;HOLDING STRAY;Redeemed;BC03;Rachel Blyth
24895;Aust. Cattle Dog;;M/N;;2013-12-20;;Domingo;200;2013-12-22;Black;;;Adult;POLICE-DAY;Redeemed;15;Ching Koo
24898;Chihuahua;;M/N;RHF;2013-12-23;;Henry;400;2013-12-23;Tan;;;Adult;HOLDING STRAY;Ride Home Free;12;Jeanette Nelson
24900;Yorkie X;;F/S;;2013-12-24;;Roo;400;2013-12-28;White;;;Adult;BROUGHT-IN;Ride Home Free;26;Jeanette Nelson
24902;Amer. Eskimo Dog;;F;13-453956DI;2013-12-24;;Lulu;200;2013-12-28;White;;;Young Adult;COMPLAINT;Redeemed;21;Guy Palanuik
24905;Pit X;;F;;2013-12-27;;Reena;400;2013-12-27;Black;;;Adult;HOLDING STRAY;Ride Home Free;ACO 28;Toni Peterson
24909;Miniature Schnauzer;;F/S;13-453963DI;2013-12-28;;Mui Mui;200;2013-12-28;White;;;Senior;BROUGHT-IN;Redeemed;;Toni Peterson
24915;Shih Tzu;;M;14-170945DI;2012-03-29;;Elvis;200;2014-01-03;White;;;Senior;HOLDING STRAY;Redeemed;3;Bob Cristofoli
24924;Shepherd X;;F/S;;2014-01-03;;Molly;400;2014-01-03;Black;;;Adult;HOLDING STRAY;Ride Home Free;28;Jill  Mallon
24925;Rottweiler;;F/S;14-171121DI;2014-01-03;;Shadow;200;2014-01-04;Black;;;Adult;HOLDING STRAY;Redeemed;27;Carol Nguyen
24927;Husky X;2013-12-21;F/S;DA 14-176991;2014-01-04;;Eva;200;2014-01-16;Grey;Yellow;;Adult;OTHER;Sold;rb;Rachel Blyth
24929;Germ. Shepherd;;F/S;;2014-01-07;;Lucy;400;2014-01-08;Black;;;Senior;COMPLAINT;Ride Home Free;MA11;Mariana Ardeleanu
24932;Lab X;;F;;2014-01-09;;Zoe.;400;2014-01-09;Black;;;Adult;BROUGHT-IN;Ride Home Free;;
24934;Pug;;M/N;;2014-01-10;;Pugsy;400;2014-01-10;Tan;;;Adult;HOLDING STRAY;Ride Home Free;ACO 27;Toni Peterson
24935;Chihuahua;;F/S;14-174524DI;2014-01-11;;Sababa;200;2014-01-11;Seal;;;Senior;BROUGHT-IN;Redeemed;;Tiffany Wu
24945;Labrador;;M;;2014-01-15;;Chuckie;;2014-01-15;Brown;;;Young Adult;HOLDING STRAY;Ride Home Free;21;Guy Palanuik
24946;Bichon Frise;;M/N;14-177033DI;2014-01-15;;Bruno;200;2014-01-16;White;;;Adult;BROUGHT-IN;Redeemed;shannon;Shannon Bowling
24947;Budgie;;M;DA 14-194751;2014-01-16;;Bud;200;2014-03-01;Yellow;;;;HOLDING STRAY;Sold;29;Lorne Elgar
24948;Boston Terrier;;M/N;;2014-01-16;;Louie;400;2014-01-17;Blue;;;Adult;POLICE-NIGHT;Ride Home Free;22;Lori Fitzgerald
24951;Amer. Staffordshire;;M;#14-180562DI;2014-01-17;;Halo;200;2014-01-18;Brown;;;Young Adult;HOLDING STRAY;Redeemed;3;Bob Cristofoli
24955;Chihuahua;;M;14-181298DI;2014-01-19;;Knuckles;200;2014-01-20;Cream;;;Adult;BROUGHT-IN;Redeemed;;Shannon Bowling
24956;Mastiff;;M;14-182347DI;2014-01-20;;Prince;200;2014-01-22;Tan;;;Adult;HOLDING STRAY;Redeemed;12;Jeanette Nelson
24957;Pit Bull;;M;;2014-01-21;;Jack;100;2015-07-28;White;;;Adult;SEIZED;Court Ordered;12;Jeanette Nelson
